Issue,Name,Responder,SIG,KEP,KEP_State,Completed_in_Release
592,TTL after finish,janetkuo,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/0026-ttl-after-finish.md,provisional,
596,CSI Inline Volume Support,pohly jsafraneÂ,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190122-csi-inline-volumes.md,implementable,
597,Max storage capacity per plugin per node,gnufied,storage,No KEP,none,
599,Introduce SchedulingPolicy,yastij,scheduling,No KEP,none,
600,Dynamic Audit Configuration,,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/0014-dynamic-audit-configuration.md,implementable,
603,Pass Pod information in CSI calls,gnufiedÂ,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-pod-info-on-mount.md,implementable,
606,Support 3rd party device monitoring plugins,RenaudWasTakenÂ,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/compute-device-assignment.md,implementable,
609,Cluster Autoscaler / Cluster API Integration,MaciekPytel,autoscaling,No KEP,none,
611,Consider IP Address Availability on a given Node when considering a Node for Pod scheduling,krmayankk,scheduling,No KEP,none,
614,"SCTP support for Services, Pod, Endpoint, and NetworkPolicy",danwinship janosi,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/0015-20180614-SCTP-support.md,implementable,
624,Scheduling Framework,ahg-g,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
625,In-tree storage plugin to CSI Driver Migration,davidz627,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
647,Add Tracing Support for Kubernetes Objects,dashpole,instrumentation,https://github.com/kubernetes/enhancements/blob/master/keps/sig-instrumentation/0034-distributed-tracing-kep.md,provisional,
661,Support Volume Expansion Through StatefulSets,SidakM,apps,https://github.com/kubernetes/enhancements/pull/660,provisional,
667,Support Out-of-Tree Azure Cloud Provider,feiskyerÂ,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/azure/20190125-out-of-tree-azure.md,implementable,
669,Support Out-of-Tree OpenStack Cloud Provider,adisky,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190125-out-of-tree-openstack.md,provisional,
670,Support Out-of-Tree vSphere Cloud Provider,frapposelli cantbewongÂ,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190125-out-of-tree-vsphere.md,implementable,
671,Support Out-of-Tree IBM Cloud Provider,rtheisÂ,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190125-out-of-tree-ibm.md,provisional,
672,Support Out-of-Tree CloudStack Cloud Provider,rhtyd,cloud-provider,No KEP,none,
673,Support Out-of-Tree oVirt Cloud Provider,andrewsykim rgolanghÂ,cloud-provider,No KEP,none,
688,"Pod Overhead: account resources tied to the pod sandbox, but not specific containers",egernst tallclairÂ,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190226-pod-overhead.md,implementable,
689,Support GMSA for Windows workloads,ddebroy,windows,https://github.com/kubernetes/enhancements/blob/master/keps/sig-windows/20181221-windows-group-managed-service-accounts-for-container-identity.md,implementable,
693,Node Topology Manager,lmdaly,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/0035-20190130-topology-manager.md,implementable,
695,Skip Volume Ownership Change,mattsmithdatera gnufied,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20200120-skip-permission-change.md,implementable,
706,Portable Service Definitions,pierreozoux,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/0032-portable-service-definitions.md,provisional,
714,Break apart the kubernetes test tarball,ixdy spiffxp,testing,https://github.com/kubernetes/enhancements/blob/master/keps/sig-testing/20190118-breaking-apart-the-kubernetes-test-tarball.md,implementable,1.17
727,Kubelet Resource Metrics Endpoint,dashpole,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/kubelet-resource-metrics-endpoint.md,implementable,
740,API for external signing of Service Account tokens,micahhausler,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/20190116-service-account-external-signing.md,implementable,
752,New Endpoint APIÂ,freehan robscott,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190603-EndpointSlice-API.md,implementable,
753,Sidecar ContainersÂ,Joseph-Irving,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/sidecarcontainers.md,implementable,
757,Pid Limiting,derekwaynecarr RobertKrawitz,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190129-pid-limiting.md,implementable,
758,Move Ingress to the networking.v1beta1 API group,cmluciano,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190125-ingress-api-group.md,implementable,
770,Skip attach for non-attachable CSI volumes,msau42 jsafrane,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-skip-attach.md,implementable,
773,Taint and Tolerations for Volume and Pod,jingxu97,storage,https://github.com/kubernetes/enhancements/pull/766,implementable,
783,k8s.io/component-base,stealthybox mtaufen,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/wgs/0032-create-a-k8s-io-component-repo.md,implementable,
784,Graduate the kube-proxy ComponentConfig to v1beta1,luxas rosti,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190613-kube-proxy-component-config.md,implementable,
785,Graduate the kube-scheduler ComponentConfig to v1beta1,jfbai,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20190221-pod-topology-spread.md,implementable,
786,kube-controller-manager ComponentConfig,luxas,api-machinery,https://github.com/kubernetes/enhancements/pull/1052,provisional,
837,Promote Cloud Provider Labels to GA,andrewsykim,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190215-promoting-cloud-provider-labels.md,implementable,1.17
853,Configurable scale velocity for HPA,josephburnett gliush,autoscaling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-autoscaling/20190307-configurable-scale-velocity-for-hpa.md,implementable,
859,Include kubectl command metadata in http request headers,pwittrock,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/kubectl-commands-in-headers.md,implementable,
894,RuntimeClass Scheduling,tallclair,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/runtime-class-scheduling.md,implementable,
